 1/2" NPT/M20x1,5
 10,00 / x 2,00mm
 10,00 / x 5,00mm
 100,00 / x 2,00mm
 100,00 / x 3,00mm
 100,00 / x 4,00mm
 100,00 / x 6,00mm
 101,27 / x 2,62mm
 102,00 / x 3,00mm
 104,00 / x 2,00mm
 104,00 / x 3,50mm
 104,00 / x 5,00mm
 104,14 / x 5,33mm
 104,20 / x 5,70mm
 105,00 / x 3,00mm
 105,00 x 5,00mm
 107,32 / x 5,33mm
 109,50 / x 3,50mm
 11,00 / x 1,80mm
 11,00 / x 7,00mm
 110,00 / x 3,00mm
 110,72 / x 3,53mm
 111,00 / x 3,50mm
 113,67 / x 5,33mm
 114,20 / x 5,70mm
 114,30 / x 5,70mm
 116,84 / x 5,33mm
 117,07x 3,53mm
 118,00 / x 3,50mm
 118,30 / x 8,50mm
 12,37 / x 2,62mm
 12,42 / x 1,78mm
 122,00 / x 6,80mm
 123,00 / x 3,50mm
 123,19 / x 5,33mm
 123,42 / x 3,53mm
 123,80 / x 6,00mm
 126,00 / x 2,60mm
 126,00 / x 3,00mm
 126,67 / x 2,62mm
 128,00 / x 6,00mm
 133,00 / x 3,50mm
 134,00 / x 3,00mm
 135,00 / x 2,50mm
 135,89 / x 6,99mm
 137,00 / x 3,00mm
 139,00 / x 2,50mm
 140,00 / x 10,00mm
 140,00 / x 2,00mm
 140,00 / x 5,00mm
 145,00 / x 4,00mm
 145,00 / x 9,00mm
 147,50 / x 5,60mm
 149,00 / x 3,00mm
 15,00 / x 3,00mm
 15,40 / x 1,76mm
 15,54 / x 2,62mm
 15,60 / x 1,78mm
 151,77 / x 5,33mm
 152,07 / x 2,62mm
 154,20 / x 5,70mm
 155,00 / x 3,53mm
 160,00 / x 4,00mm
 160,00 / x 5,70mm
 162,00 / x 4,50mm
 163,00 / x 5,00mm
 164,47 / x 6,99mm
 165,00 / x 3,00mm
 165,00 / x 5,00mm
 165,00 / x 6,00mm
 169,00 / x 8,70mm
 17,00 / x 2,00mm
 17,00 / x 3,00mm
 17,04 / x 3,53mm
 17,10x 2,60mm
 170,00 / x 2,00mm
 174,00 / x 3,00mm
 175,00 / x 12,00mm
 177,17 / x 6,99mm
 178,00 / x 3,50mm
 180,00 / x 3,00mm
 180,00 / x 5,00mm
 180,00 / x 5,50mm
 180,00 / x 5,70mm
 183,52 / x 6,99mm
 183,70 / x 3,53mm
 19,00 / x 1,60mm
 190,00 / x 5,40mm
 190,00 / x 5,50mm
 190,00 / x 5,70mm
 190,00 / x 6,00mm
 194,50 / x 3,00mm
 195,00 / x 4,00mm
 20,00 / x 1,50mm
 20,00 / x 2,00mm
 20,00 / x 2,70mm
 20,00 / x 3,00mm
 20,20 / x 3,50mm
 20,20 / x 3,53mm
 20,35 / x 1,78mm
 20,50 / x 2,50mm
 202,57 / x 6,99mm
 205,00 / x 6,00mm
 208,00 / x 8,00mm
 21,50 / x 1,50mm
 21,82 / x 3,53mm
 21,95 / x 1,78mm
 210,00 / x 3,00mm
 22,00 / x 3,00mm
 221,50 / x 5,70mm
 222,00 / x 3,50mm
 225,00 / x 3,00mm
 23,39 / x 3,53mm
 230,00 / x 6,00mm
 24,00 / x 13,00mm
 24,60 / x 2,40mm
 24,99 / x 3,53mm
 244,08 / x 3,53mm
 25,00 / x 3,00mm
 26,64 / x 2,62mm
 265,00 / x 3,00mm
 270,00 / x 3,50mm
 270,00 / x 5,00mm
 276,00 / x 12,70mm
 28,00 / x 2,50mm
 28,10 / x 3,50mm
 28,17 / x 3,53mm
 29,74 / x 3,53mm
 290,00 / x 5,00mm
 297,00 / x 4,00mm
 3"x4" 5,0 BAR/SEE INT.COMMENT
 3,68 / x 1,78mm
 30,00 / x 4,00mm
 30,00x 3,00mm
 305,00 / x 5,00mm
 307,00 / x 3,00mm
 31,00 / x 18,50mm
 31,00 / x 3,00mm
 31,34 / x 3,53mm
 31,50 / x 1,50mm
 32,00 / x 2,00mm
 32,92 / x 3,53mm
 32,99 / x 2,62mm
 33,05 / x 1,78mm
 330,00 / x 5,00mm
 34,52 / x 3,53mm
 34,59 / x 2,62mm
 35,00 / x 3,00mm
 35,00 x 1,78mm
 350,00 / x 10,00mm
 350,00 / x 5,00mm
 355,00 / x 5,00mm
 36,09 / x 3,53mm
 36,17 / x 2,62mm
 366,00 / x 10,00mm
 366,00 / x 5,33mm
 37,00 / x 5,00mm
 37,69 / x 3,53mm
 37,77 / x 2,62mm
 38,00 / x 2,50mm
 380,00 / x 4,00mm
 39,34 / x 2,62mm
 390,00 / x 5,00mm
 398,00 / x 6,00mm
 4,00 / x 1,50mm
 4,47 / x 1,78mm
 4,50 / x 1,70mm
 40,00 / x 1,50mm
 40,00 / x 2,00mm
 40,00 / x 3,00mm
 40,00 / x 3,50mm
 40,00 / x 3,53mm
 40,00 / x 5,50mm
 40,60 / x 5,33mm
 40,64 / x 5,33mm
 41,00 / x 2,00mm
 410,00 / x 6,00mm
 42,00 / x 14,00mm
 42,00 / x 2,00mm
 429,00 / x 6,00mm
 43,00 / x 1,50mm
 43,80 x 3,53mm
 43,82 / x 5,33mm
 430,00 / x 11,00mm
 44,00 / x 2,00mm
 44,00x 4,00mm
 44,04 / x 3,53mm
 440,00 / x 5,00mm
 45,00 / x 1,50mm
 45,00 / x 2,00mm
 450,00 / x 5,00mm
 450,00 / x 6,00mm
 46,00 / x 3,53mm
 47,29 / x 2,62mm
 48,00 / x 5,00mm
 48,90 / x 2,62mm
 490,00 / x 5,00mm
 50,17 / x 5,33mm
 50,39 / x 3,53mm
 50,52 / x 1,78mm
 500,00 / x 10,00mm
 506,86 / x 5,33mm
 510,00 / x 10,00mm
 52,00 / x 6,00mm
 52,80 / x 4,50mm
 53,34 / x 5,33mm
 53,50 / x 3,53mm
 55,00 / x 2,00mm
 55,00 / x 3,00mm
 55,25 / x 2,62mm
 56,74 / x 3,53mm
 56,82 / x 2,62mm
 57,10 / x 3,10mm
 58,00 / x 3,00mm
 58,00x 5,00mm
 59,00 / x 5,00mm
 59,69 / x 5,33mm
 6,00 / x 1,70mm
 6,00 / x 2,00mm
 60,00 / x 2,00mm
 60,00 / x 4,00mm
 61,00 / x 3,50mm
 61,60 / x 2,62mm
 62,00 / x 3,00mm
 63,00 / x 3,00mm
 63,17 / x 2,62mm
 63,22 / x 1,78mm
 64,00 / x 2,00mm
 64,77 / x 2,62mm
 65,00 / x 6,00mm
 66,04 / x 5,33mm
 66,70 / x 4,50mm
 67,00 / x 8,00mm
 67,95 / x 2,62mm
 68,00 / x 5,00mm
 69,22 / x 5,33mm
 69,44 / x 3,53mm
 7,65 / x 1,78mm
 70,00 / x 2,00mm
 70,00 / x 2,50mm
 71,12 / x 2,62mm
 72,00 / x 10,00mm
 72,39 / x 5,33mm
 72,62 / x 3,53mm
 75,00 / x 3,00mm
 75,00 / x 5,00mm
 75,79 / x 3,53mm
 75,82 / x 2,62mm
 78,74 / x 5,33mm
 78,97 / x 3,53mm
 79,00 / x 1,80mm
 80,00 / x 3,00mm
 80,00 / x 8,00mm
 81,92 / x 5,33mm
 82,22 / x 2,62mm
 82,50 / x 5,30mm
 83,00 / x 5,00mm
 85,32 / x 3,53mm
 88,00 / x 3,00mm
 88,49 / x 3,50mm
 88,49 / x 3,53mm
 9,25x 1,78mm
 90,00 / x 3,00mm
 90°/DN: 2"
 91,44 / x 5,33mm
 91,67 / x 3,53mm
 92,00 / x 3,00mm
 94,00 / x 2,00mm
 94,00 / x 3,00mm
 94,50 / x 3,00mm
 94,62 / x 5,33mm
 94,84 / x 3,53mm
 94,92 / x 2,62mm
 95,00 / x 2,00mm
 96,00 / x 2,00mm
 96,00 / x 3,00mm
 98,02 / x 3,53mm
 98,05 / x 1,78mm
 99,00 / x 5,70mm
 COD.: 100082
 COD.: 100188
 COD.: NEP-100204
 DN 1.1/2"x2" /150#/RF/5,5 BAR/SEE INT.COMMENT
 R 1/4 BS
 R 1/8" BSP
 RJT 4
"A" 10,0x8,0x25,0 mm.
"A" 20x12x36
"A": 385,0 MM
